Carson,"['Unincorporated - Rancho Dominguez', 'Unincorporated - West Carson']"
Studio City,['Unincorporated - Universal City']
Whittier,"['Unincorporated - La Habra Heights', 'Unincorporated - Sunrise Village', 'Unincorporated - Whittier']"
Glendora,['Unincorporated - Glendora']
Cerritos,['Unincorporated - Cerritos']
La Mirada,['Unincorporated - East La Mirada']
La Canada Flintridge,['Unincorporated - La Crescenta-Montrose']
Brentwood,['Unincorporated - Franklin Canyon']
Altadena,['Unincorporated - Altadena']
Avalon,"['Unincorporated - San Clemente Island', 'Unincorporated - Santa Catalina Island']"
Lomita,"['Unincorporated - Palos Verdes Peninsula', 'Unincorporated - Westfield/Academy Hills']"
Palmdale,['Unincorporated - Palmdale']
San Pedro,['Unincorporated - La Rambla']
El Segundo,"['Unincorporated - Del Aire', 'Unincorporated - Wiseburn']"
West Whittier/Los Nietos,['Unincorporated - West Whittier/Los Nietos']
Hawthorne,"['Unincorporated - Hawthorne', 'Unincorporated - Lennox']"
Walnut,['Unincorporated - Walnut']
Park La Brea,['Unincorporated - Miracle Mile']
San Dimas,['Unincorporated - East Covina']
Castaic,['Unincorporated - Castaic']
Basset,"['Unincorporated - Avocado Heights', 'Unincorporated - Bassett', 'Unincorporated - North Whittier', 'Unincorporated - West Puente Valley']"
La Verne,['Unincorporated - La Verne']
Bellflower,['Unincorporated - Lynwood']
Rowland Heights,['Unincorporated - Rowland Heights']
Lancaster,"['Unincorporated - East Lancaster', 'Unincorporated - Quartz Hill']"
Athens-Westmont,['Unincorporated - Athens-Westmont']
Claremont,"['Unincorporated - Claremont', 'Unincorporated - Padua Hills']"
Acton,"['Unincorporated - Acton', 'Unincorporated - Anaverde', 'Unincorporated - Angeles National Forest', 'Unincorporated - Desert View Highlands', 'Unincorporated - Kagel/Lopez Canyons', 'Unincorporated - Littlerock', 'Unincorporated - Littlerock/Juniper Hills', 'Unincorporated - Llano', 'Unincorporated - Pearblossom/Llano', 'Unincorporated - Placerita Canyon', 'Unincorporated - Sand Canyon', 'Unincorporated - South Antelope Valley', 'Unincorporated - Southeast Antelope Valley', 'Unincorporated - White Fence Farms']"
Florence-Firestone,"['Unincorporated - Florence-Firestone', 'Unincorporated - Walnut Park']"
Duarte,"['Unincorporated - Arcadia', 'Unincorporated - Duarte', 'Unincorporated - Monrovia']"
Hacienda Heights,['Unincorporated - Hacienda Heights']
Harbor Gateway,['Unincorporated - Harbor Gateway']
Monrovia,['Unincorporated - Bradbury']
Compton,"['Unincorporated - East Rancho Dominguez', 'Unincorporated - Rosewood']"
Playa Vista,"['Unincorporated - Del Rey', 'Unincorporated - Marina del Rey']"
Pomona,['Unincorporated - Pomona']
East Los Angeles,['Unincorporated - East Los Angeles']
Santa Monica Mountains,['Unincorporated - Santa Monica Mountains']
South Whittier,"['Unincorporated - East Whittier', 'Unincorporated - South Whittier']"
Azusa,['Unincorporated - Azusa']
Valinda,"['Unincorporated - San Jose Hills', 'Unincorporated - Valinda']"
Lakewood,['Unincorporated - Lakewood']
Covina,"['Unincorporated - Charter Oak', 'Unincorporated - Covina', 'Unincorporated - Covina (Charter Oak) ']"
El Monte,['Unincorporated - El Monte']
Pasadena,"['Unincorporated - East Pasadena', 'Unincorporated - Northeast San Gabriel', 'Unincorporated - San Pasqual']"
Lake Los Angeles,"['Unincorporated - Hi Vista', 'Unincorporated - Lake Los Angeles', 'Unincorporated - Littlerock/Pearblossom', 'Unincorporated - North Lancaster', 'Unincorporated - Roosevelt', 'Unincorporated - Sun Village', 'Unincorporated - South Edwards']"
West Los Angeles,['Unincorporated - West LA']
Maywood,['Unincorporated - Bandini Islands']
South El Monte,"['Unincorporated - Pellissier Village', 'Unincorporated - South El Monte', 'Unincorporated - South San Gabriel', 'Unincorporated - Whittier Narrows']"
Stevenson Ranch,"['Unincorporated - Newhall', 'Unincorporated - Stevenson Ranch', 'Unincorporated - Twin Lakes/Oat Mountain', 'Unincorporated - Val Verde']"
Willowbrook,"['Unincorporated - Athens Village', 'Unincorporated - Rosewood/East Gardena', 'Unincorporated - Rosewood/West Rancho Dominguez', 'Unincorporated - West Rancho Dominguez', 'Unincorporated - Willowbrook']"
West Hills,"['Unincorporated - Lake Manor', 'Unincorporated - West Chatsworth', 'Unincorporated - Westhills']"
Canyon Country,"['Unincorporated - Agua Dulce', 'Unincorporated - Bouquet Canyon', 'Unincorporated - Canyon Country', 'Unincorporated - Del Sur', 'Unincorporated - Elizabeth Lake', 'Unincorporated - Lake Hughes', 'Unincorporated - Leona Valley', 'Unincorporated - San Francisquito Canyon/Bouquet Canyon', 'Unincorporated - Saugus', 'Unincorporated - Saugus/Canyon Country', 'Unincorporated - Valencia', 'Unincorporated - West Antelope Valley']"
Lawndale,['Unincorporated - El Camino Village']
Culver City,"['Unincorporated - Ladera Heights', 'Unincorporated - View Park/Windsor Hills']"
