ID,Time Stamp,Region,Latitude,Longitude,Risk-Score,Risk-Level
0,04-2-2020,Acton,34.4807415,-118.1868379,-1.0,-1
1,04-2-2020,Agoura Hills,34.14791,-118.76570420000002,0.18149940155190375,1
2,04-2-2020,Alhambra,34.093042,-118.12706,0.4654954574964405,1
3,04-2-2020,Altadena,34.1863161,-118.13523290000002,0.16043413361916506,1
4,04-2-2020,Arcadia,34.136207500000005,-118.0401497,0.0,0
5,04-2-2020,Arleta,34.2413266,-118.4322047,0.5595982237242404,1
6,04-2-2020,Avalon,33.342209999999994,-118.3272612,-1.0,-1
7,04-2-2020,Azusa,34.1338751,-117.9056046,0.0,0
8,04-2-2020,Baldwin Hills,34.01098870000001,-118.3370709,0.547923658042185,1
9,04-2-2020,Baldwin Park,34.0854739,-117.9611761,-1.0,-1
10,04-2-2020,Bassett,34.049732299999995,-117.9967323,-1.0,-1
11,04-2-2020,Bell,33.9747806,-118.1866361,0.8591140625138659,1
12,04-2-2020,Bell Gardens,33.9694561,-118.1503953,0.3712905413560293,1
13,04-2-2020,Bellflower,33.8825705,-118.1167679,0.4790504626061225,1
14,04-2-2020,Beverly Hills,34.0696501,-118.3963062,0.0,0
15,04-2-2020,Beverlywood,34.0466335,-118.395038,0.2815686432882054,1
16,04-2-2020,Boyle Heights,34.0436892,-118.20976840000002,0.4749510379078058,1
17,04-2-2020,Brentwood,34.0521403,-118.4740699,0.3166628672608145,1
18,04-2-2020,Burbank,34.181648200000005,-118.3258554,0.9179915960000042,1
19,04-2-2020,Calabasas,34.144664299999995,-118.6440973,0.438825041293135,1
20,04-2-2020,Canoga Park,34.2010776,-118.5978259,0.9760524739738328,1
21,04-2-2020,Canyon Country,34.42332929999999,-118.4720281,0.3330077237486042,1
22,04-2-2020,Carson,33.832204299999994,-118.2517547,0.9487075393280796,1
23,04-2-2020,Castaic,34.488882200000006,-118.6228656,0.12609783920325518,1
24,04-2-2020,Central,34.0536909,-118.2427666,-1.0,-1
25,04-2-2020,Century City,34.0574263,-118.4147267,0.6234834337363417,1
26,04-2-2020,Cerritos,33.8644291,-118.0539323,-1.0,-1
27,04-2-2020,Chatsworth,34.2595715,-118.6023247,0.6344951062926872,1
28,04-2-2020,Claremont,34.0966764,-117.7197785,0.0,0
29,04-2-2020,Cloverdale/Cochran,34.062323,-118.346155,-1.0,-1
30,04-2-2020,Compton,33.894927,-118.226624,-1.0,-1
31,04-2-2020,Covina,34.1024,-117.854865,-1.0,-1
32,04-2-2020,Crestview,34.0621851,-118.4250119,1.1410346351304959,2
33,04-2-2020,Culver City,34.0211224,-118.3964665,0.3990786962904401,1
34,04-2-2020,Del Rey,33.9896527,-118.4243437,0.0,0
35,04-2-2020,Diamond Bar,34.02862260000001,-117.8103367,0.28136236855174873,1
36,04-2-2020,Downey,33.942215000000004,-118.1235646,0.6372263803389494,1
37,04-2-2020,Downtown,34.0428494,-118.2476732,-1.0,-1
38,04-2-2020,Duarte,34.1394513,-117.9772873,0.0,0
39,04-2-2020,Eagle Rock,34.1366877,-118.2076796,0.5471906230884658,1
40,04-2-2020,East Hollywood,34.0904277,-118.2966254,1.9070029748445885,2
41,04-2-2020,East Los Angeles,34.0239015,-118.17201570000002,0.534498348267069,1
42,04-2-2020,Echo Park,34.0779819,-118.2567824,0.20936002080355398,1
43,04-2-2020,El Monte,34.0751571,-118.036849,-1.0,-1
44,04-2-2020,El Segundo,33.917028,-118.4156337,0.4387860239477213,1
45,04-2-2020,El Sereno,34.0811213,-118.1778495,-1.0,-1
46,04-2-2020,Encino,34.1591324,-118.5016166,0.6551252574551192,1
47,04-2-2020,Exposition Park,34.013653999999995,-118.2872106,0.9566533072387824,1
48,04-2-2020,Gardena,33.8963593,-118.3053037,0.9479214186702388,1
49,04-2-2020,Glassell Park,34.1161201,-118.2289627,1.2412188671639814,2
50,04-2-2020,Glendale,34.146941600000005,-118.2478471,1.0845838762425846,2
51,04-2-2020,Glendora,34.136118700000004,-117.865339,0.0,0
52,04-2-2020,Granada Hills,34.26615579999999,-118.5174342,0.4991154519574525,1
53,04-2-2020,Hacienda Heights,33.993067700000005,-117.9686755,0.4969096770019252,1
54,04-2-2020,Hancock Park,34.0677881,-118.3325765,0.11226405922733873,1
55,04-2-2020,Harbor City,33.79110120000001,-118.3012604,0.6513608216525075,1
56,04-2-2020,Harbor Gateway,33.8542249,-118.2992198,0.0,0
57,04-2-2020,Harvard Heights,34.047110499999995,-118.3054828,0.5961204429467081,1
58,04-2-2020,Harvard Park,33.9839471,-118.3046228,-1.0,-1
59,04-2-2020,Hawthorne,33.9188589,-118.3483256,0.0,0
60,04-2-2020,Highland Park,34.1099469,-118.1969828,0.13349233660964166,1
61,04-2-2020,Hollywood,34.0980031,-118.3295232,0.7373308073435525,1
62,04-2-2020,Hollywood Hills,34.1311792,-118.3355474,0.5073403352613168,1
63,04-2-2020,Huntington Park,33.982704299999995,-118.21203429999998,-1.0,-1
64,04-2-2020,Hyde Park,33.9805691,-118.3306308,0.14195952115053795,1
65,04-2-2020,Inglewood,33.9562003,-118.353132,0.8105815150479355,1
66,04-2-2020,Koreatown,34.05801339999999,-118.3008095,-1.0,-1
67,04-2-2020,La Canada Flintridge,34.1998302,-118.2005236,0.3283224225798445,1
68,04-2-2020,La Mirada,33.906097100000004,-118.0107092,0.3794137919071676,1
69,04-2-2020,La Puente,34.01979,-117.95036770000002,0.6457879564411523,1
70,04-2-2020,La Verne,34.10084260000001,-117.7678355,0.0,0
71,04-2-2020,Lake Balboa,34.1811656,-118.495236,0.480215130292257,1
72,04-2-2020,Lake Los Angeles,34.6127395,-117.8403955,-1.0,-1
73,04-2-2020,Lakewood,33.8503463,-118.1171914,0.0,0
74,04-2-2020,Lancaster,34.6981064,-118.1366153,0.3391828673281966,1
75,04-2-2020,Lawndale,33.8885217,-118.3531991,0.5920983590363275,1
76,04-2-2020,Leimert Park,34.007702,-118.3320627,0.580364735879266,1
77,04-2-2020,Lincoln Heights,34.081248200000005,-118.2034419,0.4431057587752037,1
78,04-2-2020,Lomita,33.8036545,-118.3195014,0.3823205594861217,1
79,04-2-2020,Los Feliz,34.1100408,-118.2889236,0.3016237404691154,1
80,04-2-2020,Lynwood,33.924831,-118.2024154,0.0,0
81,04-2-2020,Manhattan Beach,33.8915985,-118.3951241,0.403576202313704,1
82,04-2-2020,Mar Vista,34.0037605,-118.4391641,0.6651680426098335,1
83,04-2-2020,Maywood,33.9866807,-118.185349,0.4134708774264857,1
84,04-2-2020,Melrose,34.0536909,-118.2427666,1.6758969993856825,2
85,04-2-2020,Miracle Mile,34.008544,-118.133415,0.0,0
86,04-2-2020,Monrovia,34.1483499,-118.0014517,0.09495530923659944,0
87,04-2-2020,Montebello,34.0159398,-118.111975,0.930506825455218,1
88,04-2-2020,Monterey Park,34.051522,-118.129807,0.36818937164318577,1
89,04-2-2020,Mt. Washington,34.0988396,-118.2211069,-1.0,-1
90,04-2-2020,North Hills,34.2429575,-118.4854081,0.5981478469033046,1
91,04-2-2020,North Hollywood,34.1729044,-118.3740371,0.5098303980970875,1
92,04-2-2020,Northridge,34.2345615,-118.5369316,0.3848662148336737,1
93,04-2-2020,Norwalk,33.909280200000005,-118.0849169,0.6301972059838301,1
94,04-2-2020,Pacoima,34.262502500000004,-118.427027,0.5362565224777347,1
95,04-2-2020,Palmdale,34.5793131,-118.1171108,0.0,0
96,04-2-2020,Palms,34.024732799999995,-118.4116152,1.7168441000989734,2
97,04-2-2020,Panorama City,34.2242902,-118.4453745,0.8131384275678546,1
98,04-2-2020,Paramount,33.898917,-118.171005,0.4765202546567438,1
99,04-2-2020,Park La Brea,34.067401600000004,-118.3552363,-1.0,-1
100,04-2-2020,Pico Rivera,33.9830688,-118.096735,0.7753040441261091,1
101,04-2-2020,Playa Vista,33.9759574,-118.4181815,0.1318372441591649,1
102,04-2-2020,Pomona,34.05538129999999,-117.7517496,0.0,0
103,04-2-2020,Porter Ranch,34.2818164,-118.5612714,0.8392005523256209,1
104,04-2-2020,Rancho Palos Verdes,33.7483311,-118.3707683,0.482911986427781,1
105,04-2-2020,Redondo Beach,33.8455911,-118.38867659999998,0.5979091617213679,1
106,04-2-2020,Reseda,34.200078399999995,-118.5369884,0.8158118387432021,1
107,04-2-2020,Rosemead,34.0676169,-118.0879763,-1.0,-1
108,04-2-2020,Rowland Heights,33.9761238,-117.9053395,-1.0,-1
109,04-2-2020,San Dimas,34.1066756,-117.8067257,0.3329753827646366,1
110,04-2-2020,San Fernando,34.28497,-118.437652,0.36133055057646707,1
111,04-2-2020,San Gabriel,34.0991325,-118.1086041,0.026581817468004386,0
112,04-2-2020,San Pedro,33.7358518,-118.2922934,0.21932533636844886,1
113,04-2-2020,Santa Clarita,34.3916641,-118.542586,0.260563486246136,1
114,04-2-2020,Santa Monica,34.0194704,-118.4912273,0.4092267973916559,1
115,04-2-2020,Sherman Oaks,34.1508718,-118.4489865,0.3742011396919047,1
116,04-2-2020,Silverlake,34.092941,-118.2697155,0.9764194186364672,1
117,04-2-2020,South El Monte,34.0519548,-118.04673390000002,0.0,0
118,04-2-2020,South Gate,33.9463456,-118.200981,1.0208770999219512,2
119,04-2-2020,South Park,33.9959381,-118.2697608,0.7219965720156122,1
120,04-2-2020,South Pasadena,34.113306200000004,-118.1478291,-1.0,-1
121,04-2-2020,South Whittier,33.9435081,-118.0347827,0.2491887199614572,1
122,04-2-2020,Stevenson Ranch,34.3864721,-118.5826635,0.4906895147877352,1
123,04-2-2020,Studio City,34.148398900000004,-118.3961877,0.2389940515564245,1
124,04-2-2020,Sun Valley,34.2175042,-118.3703576,0.2394763091233923,1
125,04-2-2020,Sunland,34.266946600000004,-118.3023,1.1423709924687968,2
126,04-2-2020,Sylmar,34.307625200000004,-118.4492148,0.751346895577719,1
127,04-2-2020,Tarzana,34.1714436,-118.5429789,0.4846381409321792,1
128,04-2-2020,Temple City,34.1082994,-118.0577568,-1.0,-1
129,04-2-2020,Torrance,33.83584920000001,-118.3406288,0.4116111299547933,1
130,04-2-2020,Tujunga,34.252225,-118.2884105,0.3293978713913383,1
131,04-2-2020,University Park,34.027449,-118.2839493,0.4035431048791434,1
132,04-2-2020,Valinda,34.0384785,-117.933559,0.1299224361849169,1
133,04-2-2020,Valley Glen,34.1826379,-118.4138666,0.47609212482935204,1
134,04-2-2020,Van Nuys,34.1866193,-118.4486669,0.7810287622234506,1
135,04-2-2020,Venice,33.995044,-118.4668875,0.5755859409476604,1
136,04-2-2020,Vermont Knolls,33.9668188,-118.29167,0.2909590287044865,1
137,04-2-2020,Vermont Vista,33.9419475,-118.2858138,0.41490737607240097,1
138,04-2-2020,Vernon Central,34.007135,-118.22525,0.5940601850550514,1
139,04-2-2020,Walnut,34.0202894,-117.8653386,0.0,0
140,04-2-2020,Watts,33.9405674,-118.2428485,0.4921070988789134,1
141,04-2-2020,West Adams,34.0294356,-118.3524833,1.0418651678057236,2
142,04-2-2020,West Covina,34.0686208,-117.93895259999998,0.35488561384502776,1
143,04-2-2020,West Hills,34.2032325,-118.645476,0.0,0
144,04-2-2020,West Hollywood,34.0923014,-118.3692894,0.26959934959068,1
145,04-2-2020,West Vernon,34.007135,-118.22525,0.5421901742490208,1
146,04-2-2020,Westchester,33.9597349,-118.4006322,0.3234778065062766,1
147,04-2-2020,Westlake,34.0629226,-118.2728204,0.8888537001549972,1
148,04-2-2020,Westwood,34.05612070000001,-118.4306347,0.0,0
149,04-2-2020,Whittier,33.9708782,-118.0308396,0.0,0
150,04-2-2020,Willowbrook,33.918786299999994,-118.2343933,0.3149833414650216,1
151,04-2-2020,Wilmington,33.7800164,-118.2625095,-1.0,-1
152,04-2-2020,Wilshire Center,34.0615146,-118.4327712,0.4998278302126696,1
153,04-2-2020,Winnetka,34.2058826,-118.570934,0.6789866356132351,1
154,04-2-2020,Woodland Hills,34.1684364,-118.6058382,0.6033456255920807,1
