Region,Latitude,Longitude
Acton,34.4807415,-118.1868379
Harbor Pines,33.7825681,-118.3069302
South El Monte,34.0519548,-118.0467339
Boyle Heights,34.0436892,-118.2097684
Quartz Hill,34.6452645,-118.2181308
Woodland Hills,34.1684364,-118.6058382
Chinatown,34.0638402,-118.2358676
Canoga Park,34.2010776,-118.5978259
Diamond Bar,34.0286226,-117.8103367
Westhills,33.973951,-118.248405
El Sereno,34.0811213,-118.1778495
Palos Verdes Estates,33.7872386,-118.401813
Toluca Woods,34.060921,-118.258622
Alsace,33.9879995,-118.3476199
Palms,34.0247328,-118.4116152
Arleta,34.2413266,-118.4322047
Rosemead,34.0676169,-118.0879763
Playa Del Rey,33.9550828,-118.4367496
Playa del Rey,33.9550828,-118.4367496
Los Angeles - Playa Del Rey,33.9550828,-118.4367496
Santa Monica,34.0194704,-118.4912273
Pico,34.0406717,-118.2661915
La Rambla,34.1889019,-118.2843488
La Canada Flintridge,34.1998302,-118.2005236
East Pasadena,34.1452697,-118.1175439
Westwood,34.0561207,-118.4306347
Universal City,34.1412926,-118.3584364
Unincorporated - Universal City,34.1412926,-118.3584364 
West Rancho Dominguez,33.8939048,-118.2706282
Century Palms/Cove,34.062844,-118.415813
Angelino Heights,34.0702889,-118.2547965
Kagel/Lopez Canyons,34.3112356,-118.3825744
Lopez/Kagel Canyons,34.3112356,-118.3825744
Unincorporated - Kagel/Lopez Canyons, 34.3112356,-118.3825744
Temple-Beaudry,34.0628846,-118.2512529
Altadena,34.1863161,-118.1352329
La Mirada,33.9060971,-118.0107092
Exposition,34.013654,-118.2872106
Lancaster,34.6981064,-118.1366153
Manchester Square,33.966374,-118.3133775
Calabasas,34.1446643,-118.6440973
Torrance,33.8358492,-118.3406288
El Camino Village,34.0759648,-117.7802763
Littlerock/Juniper Hills,34.093694,-118.193678
Cudahy,33.9620584,-118.1835395
Walnut Park,33.968107,-118.2223503
Valencia,34.413819,-118.5610378
Saugus/Canyon Country,30.68327,-81.93039
Hidden Hills,34.164091,-118.657837
White Fence Farms,33.98494,-118.468872
Longwood,33.973537,-118.4263953
Bel Air,34.0827278,-118.4479802
Bel-Air,34.0827278,-118.4479802
Littlerock/Pearblossom,34.5207988,-117.988446
Charter Oak,34.1002646,-117.8725953
East Lancaster,34.6981064,-118.1366153
Park LaBrea,34.077937,-118.380901
Watts,33.9405674,-118.2428485
Hermosa Beach,33.86428,-118.39591
Panorama City,34.2242902,-118.4453745
Leimert Park,34.007702,-118.3320627
Faircrest Heights,33.275839,-96.991881
West Adams,34.0294356,-118.3524833
Hawthorne,33.9188589,-118.3483256
Lake Balboa,34.1811656,-118.495236
Irwindale,34.1069927,-117.9342148
Historic Filipinotown,34.88298,-114.7569
Highland Park,34.1099469,-118.1969828
Del Sur,34.6897069,-118.2886882
Wiseburn,33.9131734,-118.3750514
Valley Glen,34.1826379,-118.4138666
Alhambra,34.093042,-118.12706
South Carthay,34.0561214,-118.3734109
La Crescenta,34.230429,-118.2350733
La Crescenta-Montrose,34.230429,-118.2350733
Unincorporated - La Crescenta-Montrose, 34.230429,-118.2350733
Sierra Madre,34.1616729,-118.0528456
Cadillac-Corning,33.973951,-118.248405
South Gate,33.9463456,-118.200981
Hawaiian Gardens,33.8284787,-118.0743137
South Park,33.9959381,-118.2697608
Rolling Hills Estates,33.7877943,-118.3581284
Lakeview Terrace,34.1396617,-117.8986251
Lake View Terrace,34.1396617,-117.8986251
Los Angeles - Lakeview Terrace, 34.1396617,-117.8986251
Elizabeth Lake,38.121771,-78.04887
Sycamore Square,34.329077,-118.4660031
Hollywood,34.0980031,-118.3295232
Monrovia,34.1483499,-118.0014517
West Los Angeles,34.0463986,-118.448135
Elysian Valley,34.0959128,-118.2420326
Paramount,33.898917,-118.171005
Lake Manor,34.2382459,-118.6500943
Cheviot Hills,34.0405878,-118.4098875
Vermont Vista,33.9419475,-118.2858138
North Hills,34.2429575,-118.4854081
Llano,34.5058282,-117.8178409
University Hills,34.0680353,-118.1733524
West Chatsworth,34.2272912,-118.659641
Melrose,34.0536909,-118.2427666
Glendora,34.1361187,-117.865339
Manhattan Beach,33.8915985,-118.3951241
Crenshaw District,34.0611479,-118.3194219
Athens,33.920407,-118.2790494
San Pasqual,34.1391544,-118.1024418
Glendale,34.1469416,-118.2478471
San Dimas,34.1066756,-117.8067257
Beverly Hills,34.0696501,-118.3963062
Harbor City,33.7911012,-118.3012604
Burbank,34.1816482,-118.3258554
East Los Angeles,34.0239015,-118.1720157
Harbor Gateway,33.8542249,-118.2992198
Florence,33.9741588,-118.2432856
Norwalk,33.9092802,-118.0849169
Century City,34.0574263,-118.4147267
Koreatown,34.0580134,-118.3008095
