Region,Population
Koreatown,"115,070"
Westlake,"103,839"
East Hollywood,"73,967"
Pico-Union,"42,324"
Maywood,"28,083"
Harvard Heights,"18,587"
Hollywood,"77,818"
Walnut Park,"16,180"
Palms,"42,545"
Adams-Normandie,"17,596"
South Park,"30,496"
Lennox,"22,950"
Arlington Heights,"22,096"
Huntington Park,"61,370"
University Park,"23,596"
Cudahy,"24,208"
Historic South-Central,"49,728"
West Hollywood,"35,716"
Central-Alameda,"40,947"
Vermont-Slauson,"26,797"
Vermont Knolls,"20,616"
Panorama City,"65,766"
Vermont Square,"45,284"
Bell Gardens,"44,054"
Larchmont,"8,631"
Pico-Robertson,"18,019"
Watts,"36,815"
Westmont,"31,467"
Echo Park,"40,455"
East Los Angeles,"125,897"
Highland Park,"57,566"
Exposition Park,"31,062"
Florence-Firestone,"60,154"
East Compton,"13,802"
Jefferson Park,"23,130"
Lawndale,"31,729"
Harvard Park,"10,297"
Florence,"43,815"
Hawaiian Gardens,"14,915"
Broadway-Manchester,"23,471"
Mid-City,"52,197"
Mid-Wilshire,"41,683"
West Adams,"21,764"
Bell,"36,667"
Lynwood,"69,899"
Boyle Heights,"92,756"
Vermont Vista,"23,291"
Hawthorne,"86,265"
South San Jose Hills,"20,257"
Los Feliz,"35,238"
Cypress Park,"9,764"
Sawtelle,"35,844"
North Hollywood,"77,848"
Westwood,"47,916"
Beverly Grove,"21,417"
South Gate,"96,418"
West Puente Valley,"23,866"
Green Meadows,"28,381"
Hyde Park,"36,635"
Hermosa Beach,"18,442"
Inglewood,"112,482"
Valley Glen,"59,230"
Mar Vista,"35,492"
Canoga Park,"53,227"
West Los Angeles,"12,659"
El Monte,"116,249"
Venice,"37,705"
Citrus,"11,964"
La Puente,"41,009"
Bellflower,"72,829"
Valley Village,"24,190"
Van Nuys,"103,770"
Manchester Square,"11,594"
Del Rey,"28,010"
Paramount,"55,319"
Alhambra,"85,961"
Silver Lake,"30,972"
Baldwin Park,"75,753"
Valinda,"21,568"
Lincoln Heights,"26,616"
Reseda,"62,174"
Norwalk,"103,223"
Chinatown,"9,610"
Pacoima,"75,014"
Baldwin Hills/Crenshaw,"30,123"
Lomita,"19,984"
Rosemead,"53,280"
South Whittier,"55,285"
Vincent,"15,032"
East San Gabriel,"22,171"
Redondo Beach,"63,261"
Fairfax,"12,490"
Artesia,"16,380"
Arleta,"31,068"
North Hills,"53,095"
West Whittier-Los Nietos,"25,880"
Gardena,"57,818"
Leimert Park,"11,782"
San Fernando,"23,534"
Winnetka,"46,943"
El Sereno,"40,954"
Santa Monica,"84,084"
Charter Oak,"9,046"
Carthay,"4,866"
Mayflower Village,"11,649"
Chesterfield Square,"6,062"
San Gabriel,"39,306"
Elysian Valley,"7,387"
West Carson,"21,010"
Compton,"94,384"
Del Aire,"9,039"
Harbor City,"23,561"
Willowbrook,"34,336"
Long Beach,"462,731"
Gramercy Park,"10,047"
North El Monte,"3,703"
Manhattan Beach,"34,039"
Downey,"107,323"
Glassell Park,"23,467"
East La Mirada,"9,442"
Atwater Village,"14,888"
Temple City,"33,296"
Lakewood,"79,412"
Windsor Square,"5,642"
Sun Valley,"75,848"
San Pasqual,"2,082"
Century City,"5,513"
Monterey Park,"59,933"
Lake Balboa,"24,238"
Harbor Gateway,"39,688"
Beverlywood,"6,080"
Eagle Rock,"32,493"
Alondra Park,"8,604"
Culver City,"38,816"
Montebello,"61,960"
Pico Rivera,"63,151"
Rancho Park,"4,295"
