Region,Latitude,Longitude,Population
Acton,34.4807415,-118.1868379,28809.0
Harbor Pines,33.782568100000006,-118.30693020000001,2231.0
South El Monte,34.0519548,-118.04673390000002,32030.0
Boyle Heights,34.0436892,-118.20976840000002,84950.0
Quartz Hill,34.6452645,-118.2181308,9351.0
Woodland Hills,34.1684364,-118.6058382,67666.0
Chinatown,34.0638402,-118.23586759999999,9655.0
Canoga Park,34.2010776,-118.5978259,62601.0
Diamond Bar,34.028622600000006,-117.81033670000001,57127.0
Westhills,33.973951,-118.248405,39106.0
El Sereno,34.0811213,-118.17784950000001,40643.0
Palos Verdes Estates,33.7872386,-118.40181299999999,13340.0
Toluca Woods,34.060921,-118.258622,1821.0
Alsace,33.9879995,-118.3476199,11884.0
Palms,34.024732799999995,-118.4116152,43198.0
Arleta,34.2413266,-118.4322047,33796.0
Rosemead,34.0676169,-118.08797630000001,55058.0
Playa Del Rey,33.9550828,-118.4367496,11317.0
Playa del Rey,33.9550828,-118.4367496,11317.0
Los Angeles - Playa Del Rey,33.9550828,-118.4367496,11317.0
Santa Monica,34.019470399999996,-118.4912273,93410.0
Pico,34.0406717,-118.2661915,
La Rambla,34.1889019,-118.28434879999999,79805.0
La Canada Flintridge,34.1998302,-118.2005236,40253.0
East Pasadena,34.14526970000001,-118.1175439,6045.0
Westwood,34.05612070000001,-118.43063470000001,53332.0
Universal City,34.14129260000001,-118.3584364,32281.0
Unincorporated - Universal City, 34.14129260000001,-118.3584364,32281.0
West Rancho Dominguez,33.893904799999994,-118.27062820000002,43095.0
Century Palms/Cove,34.062844,-118.41581299999999,32314.0
Angelino Heights,34.070288899999994,-118.25479650000001,2427.0
Kagel/Lopez Canyons,34.3112356,-118.3825744,697.0
Lopez/Kagel Canyons,34.3112356,-118.3825744,697.0
Unincorporated - Kagel/Lopez Canyons,34.3112356,-118.3825744,697.0  
Temple-Beaudry,34.062884600000004,-118.25125290000001,38266.0
Altadena,34.1863161,-118.13523290000002,53439.0
La Mirada,33.906097100000004,-118.0107092,54602.0
Exposition,34.013653999999995,-118.2872106,3357.0
Lancaster,34.6981064,-118.13661529999999,169552.0
Manchester Square,33.966374,-118.31337749999999,8248.0
Calabasas,34.144664299999995,-118.6440973,26051.0
Torrance,33.835849200000006,-118.34062879999999,146686.0
El Camino Village,34.0759648,-117.7802763,42232.0
Littlerock/Juniper Hills,34.093694,-118.193678,1388.0
Cudahy,33.9620584,-118.1835395,24208.0
Walnut Park,33.968107,-118.2223503,16180.0
Valencia,34.413819000000004,-118.56103780000001,25745.0
Saugus/Canyon Country,30.68327,-81.93039,25745.0
Hidden Hills,34.164091,-118.65783700000001,1875.0
White Fence Farms,33.98494,-118.46887199999999,28809.0
Longwood,33.973537,-118.4263953,4296.0
Bel Air,34.0827278,-118.44798020000002,8608.0
Bel-Air,34.0827278,-118.44798020000002,8608.0
Littlerock/Pearblossom,34.520798799999994,-117.988446,1388.0
Charter Oak,34.1002646,-117.8725953,9046.0
East Lancaster,34.6981064,-118.13661529999999,61.0
Park LaBrea,34.077937,-118.380901,
Watts,33.9405674,-118.24284850000001,41547.0
Hermosa Beach,33.86428,-118.39591000000001,18442.0
Panorama City,34.2242902,-118.44537450000001,71109.0
Leimert Park,34.007702,-118.33206270000001,15299.0
Faircrest Heights,33.275839000000005,-96.991881,3841.0
West Adams,34.0294356,-118.35248329999999,26398.0
Hawthorne,33.9188589,-118.34832560000001,114032.0
Lake Balboa,34.1811656,-118.495236,40668.0
Irwindale,34.1069927,-117.9342148,1472.0
Historic Filipinotown,34.882979999999996,-114.7569,13842.0
Highland Park,34.1099469,-118.1969828,46454.0
Del Sur,34.6897069,-118.2886882,25745.0
Wiseburn,33.9131734,-118.37505139999999,26864.0
Valley Glen,34.182637899999996,-118.41386659999999,28726.0
Alhambra,34.093042,-118.12706000000001,86706.0
South Carthay,34.056121399999995,-118.37341090000001,4866.0
La Crescenta,34.230429,-118.2350733,18507.0
La Crescenta-Montrose, 34.230429,-118.2350733,18507.0
Unincorporated - La Crescenta-Montrose, 34.230429,-118.2350733,18507.0
Sierra Madre,34.1616729,-118.0528456,10578.0
Cadillac-Corning,33.973951,-118.248405,6780.0
South Gate,33.9463456,-118.200981,99739.0
Hawaiian Gardens,33.8284787,-118.0743137,14915.0
South Park,33.9959381,-118.2697608,37261.0
Rolling Hills Estates,33.787794299999995,-118.3581284,8334.0
Lakeview Terrace,34.139661700000005,-117.89862509999999,13217.0
Lake View Terrace, 34.139661700000005,-117.89862509999999,13217.0
Los Angeles - Lakeview Terrace, 34.139661700000005,-117.89862509999999,13217.0
Elizabeth Lake,38.121771,-78.04887,1379.0
Sycamore Square,34.329077000000005,-118.4660031,623.0
Hollywood,34.0980031,-118.32952320000001,69763.0
Monrovia,34.1483499,-118.0014517,37614.0
West Los Angeles,34.0463986,-118.44813500000001,36375.0
Elysian Valley,34.095912799999994,-118.24203259999999,10022.0
Paramount,33.898917,-118.17100500000001,56225.0
Lake Manor,34.238245899999995,-118.65009429999999,41543.0
Cheviot Hills,34.0405878,-118.4098875,9172.0
Vermont Vista,33.9419475,-118.2858138,39698.0
North Hills,34.2429575,-118.4854081,58362.0
Llano,34.5058282,-117.8178409,28809.0
