Region,Latitude,Longitude,Population
Harbor Gateway,33.8542249,-118.29921979999999,43700.0
Venice,33.995044,-118.4668875,34136.0
Claremont,34.0966764,-117.71977849999999,36850.0
Montebello,34.0159398,-118.111975,63731.0
Porter Ranch,34.2818164,-118.56127140000001,33206.0
Downey,33.942215000000004,-118.1235646,113811.0
Sunland,34.266946600000004,-118.3023,38465.0
Park La Brea,34.067401600000004,-118.35523629999999,27005.0
El Monte,34.0751571,-118.036849,113725.0
Pomona,34.05538129999999,-117.75174960000001,157108.0
Winnetka,34.2058826,-118.57093400000001,55773.0
Bell Gardens,33.9694561,-118.1503953,67342.0
Reseda,34.200078399999995,-118.53698840000001,75758.0
Hyde Park,33.9805691,-118.3306308,32712.0
Echo Park,34.0779819,-118.2567824,30710.0
Northridge,34.2345615,-118.53693159999999,67755.0
South El Monte,34.0519548,-118.04673390000002,32030.0
Angeles,34.043311100000004,-118.2529147,38159.0
Burbank,34.181648200000005,-118.3258554,104692.0
Santa Clarita,34.3916641,-118.54258600000001,219356.0
Bell,33.9747806,-118.1866361,36596.0
Vermont Knolls,33.9668188,-118.29167,36831.0
Koreatown,34.05801339999999,-118.3008095,52603.0
El Segundo,33.917028,-118.4156337,26864.0
Walnut,34.020289399999996,-117.86533859999999,30067.0
Vermont Vista,33.9419475,-118.2858138,43908.0
Diamond Bar,34.028622600000006,-117.81033670000001,57127.0
North Hollywood,34.1729044,-118.37403710000001,151354.0
Duarte,34.1394513,-117.97728729999999,39704.0
San Fernando,34.28497,-118.437652,48440.0
Lawndale,33.8885217,-118.3531991,42232.0
Hacienda Heights,33.993067700000005,-117.96867549999999,54634.0
Lake Balboa,34.1811656,-118.495236,41661.0
Palmdale,34.5793131,-118.1171108,159689.0
Exposition Park,34.013653999999995,-118.2872106,45190.0
Central,34.0536909,-118.2427666,39107.0
Canoga Park,34.2010776,-118.5978259,63694.0
Westchester,33.9597349,-118.40063219999999,50798.0
Covina,34.0821496,-117.87212379999998,49131.0
Century City,34.057426299999996,-118.4147267,28076.0
Arcadia,34.136207500000005,-118.0401497,56993.0
Boyle Heights,34.033165600000004,-118.20486480000001,87247.0
Harvard Heights,34.10064379999999,-117.71667450000001,26967.0
Whittier,33.9708782,-118.0308396,99118.0
Leimert Park,34.007702,-118.33206270000001,28318.0
Palms/Cove,34.024732799999995,-118.4116152,54881.0
Lincoln Heights,34.0705664,-118.2050727,33052.0
Long Beach,33.7690164,-118.1916048,483934.0
Gardena,33.8963593,-118.3053037,60679.0
Palms,34.024732799999995,-118.4116152,45160.0
Manhattan Beach,33.8915985,-118.39512409999999,54881.0
Glassell Park,34.1161201,-118.22896270000001,31385.0
Canyon Country,34.42332929999999,-118.4720281,25745.0
South Pasadena,34.113306200000004,-118.1478291,39453.0
Norwalk,33.909280200000005,-118.0849169,104868.0
Highland Park,34.1099469,-118.1969828,48168.0
Compton,33.894927,-118.226624,118259.0
Rowland Heights,33.976123799999996,-117.9053395,50863.0
East Hollywood,34.0904277,-118.2966254,29790.0
Melrose,34.0536909,-118.2427666,77634.0
Harbor City,33.797282200000005,-118.30047169999999,31263.0
Carson,33.832204299999994,-118.2517547,118244.0
Sherman Oaks,34.1508718,-118.4489865,84967.0
La Verne,34.10084260000001,-117.7678355,35146.0
Sun Valley,34.2175042,-118.37035759999999,55192.0
Maywood,33.9866807,-118.185349,41472.0
Monterey Park,34.051522,-118.129807,61121.0
Inglewood,33.9562003,-118.353132,116359.0
Culver City,34.021122399999996,-118.3964665,56391.0
El Sereno,34.0811213,-118.17784950000001,45030.0
Crestview,34.0621851,-118.4250119,25678.0
Acton,34.4807415,-118.1868379,28809.0
Stevenson Ranch,34.3864721,-118.5826635,25479.0
Santa Monica,34.019470399999996,-118.4912273,93410.0
University Park,34.128292200000004,-117.88555659999999,35410.0
Westwood,34.05612070000001,-118.43063470000001,54421.0
Sylmar,34.307625200000004,-118.44921480000001,82749.0
Avalon,33.342209999999994,-118.3272612,4034.0
