ID,Time Stamp,Region,Latitude,Longitude,Number of cases
0,03-17-2020,Alhambra,34.093042,-118.12706,1
1,03-17-2020,Altadena,34.1863161,-118.13523290000002,1
2,03-17-2020,Arcadia,34.136207500000005,-118.0401497,1
3,03-17-2020,Baldwin Hills,34.01098870000001,-118.3370709,1
4,03-17-2020,Beverly Hills,34.0696501,-118.3963062,1
5,03-17-2020,Boyle Heights,34.033165600000004,-118.2048648,5
6,03-17-2020,Brentwood,34.0521403,-118.4740699,1
7,03-17-2020,Carson,33.832204299999994,-118.2517547,1
8,03-17-2020,Culver City,34.0211224,-118.3964665,2
9,03-17-2020,Diamond Bar,34.02862260000001,-117.8103367,2
10,03-17-2020,Eagle Rock,34.1388968,-118.2139624,1
11,03-17-2020,Encino,34.1591324,-118.5016166,5
12,03-17-2020,Gardena,33.8963593,-118.3053037,1
13,03-17-2020,Glendale,34.146941600000005,-118.2478471,3
14,03-17-2020,Granada Hills,34.26615579999999,-118.5174342,3
15,03-17-2020,Hollywood,34.0980031,-118.3295232,1
16,03-17-2020,Hollywood Hills,34.1311792,-118.3355474,2
17,03-17-2020,Inglewood,33.9562003,-118.353132,1
18,03-17-2020,La Mirada,33.906097100000004,-118.0107092,3
19,03-17-2020,Lynwood,33.924831,-118.2024154,1
20,03-17-2020,Manhattan Beach,33.8915985,-118.3951241,4
21,03-17-2020,Mar Vista,34.0037605,-118.4391641,1
22,03-17-2020,Melrose,34.0536909,-118.2427666,9
23,03-17-2020,Monterey Park,34.051522,-118.129807,1
24,03-17-2020,North Hollywood,34.1729044,-118.3740371,1
25,03-17-2020,Northridge,34.2345615,-118.5369316,1
26,03-17-2020,Reseda,34.200078399999995,-118.5369884,1
27,03-17-2020,San Dimas,34.1066756,-117.8067257,1
28,03-17-2020,San Pedro,33.7358518,-118.2922934,1
29,03-17-2020,Santa Clarita,34.3916641,-118.542586,2
30,03-17-2020,Santa Monica,34.0194704,-118.4912273,1
31,03-17-2020,Sherman Oaks,34.1508718,-118.4489865,2
32,03-17-2020,Silverlake,34.08276970000001,-118.273646,1
33,03-17-2020,Tarzana,34.1714436,-118.5429789,5
34,03-17-2020,Torrance,33.83584920000001,-118.3406288,1
35,03-17-2020,Venice,33.985,-118.4695,2
36,03-17-2020,West Adams,34.0294356,-118.3524833,1
37,03-17-2020,West Hills,34.2032325,-118.645476,3
38,03-17-2020,West Hollywood,34.0923014,-118.3692894,8
39,03-17-2020,West Vernon,34.007135,-118.22525,1
40,03-17-2020,Westchester,33.9597349,-118.4006322,2
41,03-17-2020,Woodland Hills,34.1684364,-118.6058382,2
